Date,Close,High,Low,Open,Volume
10-02-2020,242.1203918,242.7640596,235.2380361,237.1690546,5588211
11-02-2020,242.9125977,246.1804831,241.2786474,242.8135649,3533751
12-02-2020,247.2697449,248.9531963,242.6154915,243.5067261,4490312
13-02-2020,249.0027313,250.2900819,245.8338787,247.3687962,2563148
14-02-2020,253.6570129,256.0831804,249.1017915,250.0425426,4968325
17-02-2020,250.0425262,254.8948306,249.2007929,254.3996969,2411524
18-02-2020,247.0222015,249.2007868,242.8630815,249.2007868,2430446
19-02-2020,251.5279236,253.0133247,247.4678211,247.5668539,2101729
20-02-2020,256.1326294,258.4597636,250.1910256,250.7356757,3108173
24-02-2020,244.8435974,253.3599025,241.7242614,252.3201188,3309214
25-02-2020,244.0514069,249.2998273,240.0408207,247.3688088,3309962
26-02-2020,240.4369354,243.9028714,238.654451,241.6252533,2897390
27-02-2020,231.8710938,239.1000484,229.7915414,239.1000484,3568055
28-02-2020,216.5219879,224.5926773,214.8880525,218.8491226,3364181
02-03-2020,216.4724731,224.4936305,214.0463058,220.8296439,3162614
03-03-2020,223.5528717,226.4246412,217.1161334,218.8491014,2992170
04-03-2020,218.9481506,224.7907228,211.471628,223.8994881,5216787
05-03-2020,219.5917969,224.6421667,217.2151611,221.5723317,3159080
06-03-2020,212.6599426,214.6404776,205.4805034,213.0065423,4375226
09-03-2020,197.756424,206.4707813,195.3302715,204.98538,2763988
11-03-2020,193.8448639,203.0048383,190.3789276,195.4787992,3763186
12-03-2020,160.5718536,182.1101697,158.8884021,178.3471656,4834390
13-03-2020,147.3022766,159.779652,128.4871959,144.5295249,7463176
16-03-2020,133.3890228,140.9150615,127.3979017,139.6277108,6582749
17-03-2020,132.1016693,141.1626254,129.2298998,134.3792874,6388061
18-03-2020,128.9328003,135.666621,125.8629732,134.5773209,4255688
19-03-2020,127.6454773,131.6560638,117.0496179,119.8223699,5517080
20-03-2020,136.3598175,140.2218694,127.4474109,136.6569007,4496351
23-03-2020,120.599144,134.6640549,117.9058583,122.7437953,1456143
24-03-2020,130.02565,132.6191712,116.1103579,124.6889566,5125923
25-03-2020,131.9707947,134.5643158,124.6889566,125.6864682,2771318
26-03-2020,139.9009705,151.6217291,131.7213802,134.6640357,7980255
27-03-2020,127.6814728,150.6242374,125.9358276,145.6366799,4378366
30-03-2020,128.3797302,129.476999,120.6988945,123.6914291,2397592
31-03-2020,137.2575989,138.1054746,129.1278704,131.3722714,2200227
01-04-2020,133.6166687,138.6042264,131.472025,138.6042264,1997603
03-04-2020,128.7288666,134.2650586,127.6814764,133.6665456,1761897
07-04-2020,137.8062134,141.1478831,130.6740119,130.6740119,2463474
08-04-2020,137.7563477,146.7838148,134.5642986,136.5094583,3237290
09-04-2020,142.0955048,145.8860514,139.6516047,139.6516047,2359428
13-04-2020,145.6366882,148.6292229,136.210207,141.646642,2204560
15-04-2020,144.8885498,150.5743625,142.8436481,147.6815851,3413325
16-04-2020,142.9434052,144.4895511,140.2002484,141.6466371,2685695
17-04-2020,143.5419006,148.1803383,141.1977577,146.5843138,2383979
20-04-2020,146.3349304,155.0631558,142.2451425,145.6366754,6835058
21-04-2020,135.6116791,142.6441379,133.8161554,142.6441379,3576177
22-04-2020,137.2575989,138.4546097,131.7712852,135.6615743,6012030
23-04-2020,140.1503754,142.1453985,137.1578407,140.1503754,3371195
24-04-2020,134.3149261,140.2002535,133.766307,136.8087051,1823167
27-04-2020,134.2650604,138.0057287,133.7663047,136.060569,2996533
28-04-2020,138.9533539,141.5468746,134.71393,135.6116843,5721109
29-04-2020,139.1528625,140.3498734,135.312437,139.6516183,4774187
30-04-2020,141.0481262,147.0830741,139.9508727,141.0980048,4899422
04-05-2020,131.2226257,137.1578154,129.67648,136.5593025,6012691
05-05-2020,132.3697815,136.0107078,131.4720272,134.6640611,3112486
06-05-2020,132.9184265,135.0630705,126.9832353,133.3174251,6685480
07-05-2020,134.5643005,135.3124342,129.6765001,130.7737689,2423478
08-05-2020,136.8087006,139.0032381,135.8610677,136.5593227,2431204
11-05-2020,139.7014923,142.9434048,137.1578349,137.50697,2900696
12-05-2020,139.5518646,140.3498769,132.8685401,138.1553545,2901801
13-05-2020,140.7987366,144.6391618,140.3997381,144.6391618,3115038
14-05-2020,140.5493622,141.995766,137.058072,139.2027308,1587450
15-05-2020,140.6990051,143.3424046,139.651615,141.048125,2145697
18-05-2020,135.5617981,146.0356682,134.0156675,144.439659,4941536
19-05-2020,139.3523407,145.5369084,134.1154058,137.4570751,5564024
20-05-2020,140.9982605,142.8436477,137.6565908,139.1528581,2872608
21-05-2020,137.9558411,143.6416535,136.7089517,141.8461298,2682428
22-05-2020,137.7563477,140.8486243,136.2600804,137.6565904,2449109
26-05-2020,139.1528625,142.9434095,138.0057303,138.6541068,2657870
27-05-2020,140.6491394,141.2476525,138.1553603,139.4022499,2224751
28-05-2020,142.2950134,144.0406586,140.250127,141.3473805,2816689
29-05-2020,147.980835,153.2177703,140.7488767,140.7488767,9162612
01-06-2020,150.125473,154.5145173,149.1279616,149.6267173,3985102
02-06-2020,149.5768585,152.2202733,147.8810919,150.6242487,2482873
03-06-2020,150.2751007,157.5070591,149.2277258,151.3723694,5875845
04-06-2020,147.6317139,153.5170261,145.7863114,150.1254928,3146640
05-06-2020,152.0706329,154.6142904,148.0805867,148.5294639,4111095
