Date,Close,High,Low,Open,Volume
10-02-2020,1826.059692,1902.49987,1800.451905,1902.49987,2437470
11-02-2020,1821.460449,1855.926763,1815.303987,1844.528992,1295530
12-02-2020,1847.197632,1855.069187,1813.464235,1820.574098,1528370
13-02-2020,1854.618896,1867.525781,1836.940093,1846.541245,919630
14-02-2020,1792.168335,1854.110992,1773.143354,1846.445417,2318720
17-02-2020,1776.104126,1815.663317,1767.882839,1810.992107,1292680
18-02-2020,1797.610962,1800.63878,1757.294757,1772.664273,1806500
19-02-2020,1808.615723,1824.306196,1792.84384,1811.471131,1322670
20-02-2020,1806.071655,1823.448564,1776.928061,1808.107824,1249820
24-02-2020,1719.958496,1791.828053,1705.599931,1791.828053,1928210
25-02-2020,1679.939453,1746.792866,1659.692749,1737.689996,2568310
26-02-2020,1643.973511,1686.426474,1632.326717,1670.137127,2151130
27-02-2020,1634.051392,1652.697982,1619.937171,1645.013224,2554810
28-02-2020,1590.831909,1614.370075,1563.494525,1599.901209,3264550
02-03-2020,1630.218628,1703.951947,1594.727095,1596.930878,3483700
03-03-2020,1714.065674,1728.682972,1667.262575,1676.844544,2747400
04-03-2020,1653.291992,1751.583779,1616.478028,1720.346587,4186090
05-03-2020,1703.228271,1714.022372,1644.438129,1672.053308,2313750
06-03-2020,1700.181519,1712.441691,1611.878851,1662.471697,1707910
09-03-2020,1713.811646,1724.658499,1633.260885,1638.420784,1932250
11-03-2020,1701.144287,1750.333283,1678.473318,1713.811621,2219090
12-03-2020,1617.220825,1655.908026,1600.188852,1628.915576,3635550
13-03-2020,1693.339844,1775.409429,1456.650831,1523.533019,2794020
16-03-2020,1580.421265,1663.118502,1567.610176,1616.947727,1924950
17-03-2020,1634.789185,1673.01167,1590.611538,1601.146908,1675350
18-03-2020,1528.721558,1672.053386,1516.648185,1639.484287,1589120
19-03-2020,1453.13147,1551.98219,1434.453634,1463.131933,1611810
20-03-2020,1514.167603,1545.125207,1397.039765,1486.744726,2113350
23-03-2020,1323.666016,1664.976592,1287.044332,1385.96744,1443300
24-03-2020,1372.205322,1405.669058,1340.480008,1352.069173,1126980
25-03-2020,1401.960327,1429.330033,1323.578926,1323.578926,761180
26-03-2020,1425.269165,1464.677084,1400.35725,1412.912177,2048910
27-03-2020,1382.954224,1486.889704,1352.069121,1472.113591,1106270
30-03-2020,1287.662354,1361.533604,1265.150347,1361.533604,2263090
31-03-2020,1264.754395,1320.792854,1250.663936,1319.136603,1672550
01-04-2020,1255.647217,1286.300544,1228.934163,1264.754301,1387180
03-04-2020,1224.593018,1265.140586,1216.862076,1261.287199,1806810
07-04-2020,1264.768799,1275.966799,1202.385328,1262.330222,2405590
08-04-2020,1270.800049,1318.267355,1236.177446,1255.492719,2799990
09-04-2020,1327.181274,1356.52601,1271.195988,1294.123206,3618730
13-04-2020,1294.176392,1325.993422,1284.948469,1325.993422,1266210
15-04-2020,1285.904663,1339.702486,1267.342714,1313.438595,2755930
16-04-2020,1291.356201,1307.049858,1259.548723,1285.914114,2501460
17-04-2020,1426.466675,1446.515937,1315.273473,1328.890716,5656840
20-04-2020,1372.779663,1429.363832,1357.892499,1426.466542,2999770
21-04-2020,1303.297974,1350.62039,1298.952037,1347.7376,1656250
22-04-2020,1323.414795,1346.75251,1274.807955,1303.297982,2765770
23-04-2020,1358.669922,1376.213054,1324.061823,1332.753695,2072670
24-04-2020,1312.395386,1360.857332,1304.273282,1358.636147,1799440
27-04-2020,1352.020752,1371.38436,1334.192793,1342.604557,1836150
28-04-2020,1383.634888,1389.250746,1361.774822,1362.69225,1846940
29-04-2020,1382.562988,1395.528412,1364.194264,1391.65569,1477410
30-04-2020,1420.440308,1438.987755,1390.892681,1408.102654,3472310
04-05-2020,1327.809082,1389.73384,1314.824442,1389.73384,1924440
05-05-2020,1333.811279,1367.801396,1319.81254,1352.069069,1524890
06-05-2020,1338.543457,1369.008511,1313.438438,1335.168118,1871230
07-05-2020,1353.083008,1362.209426,1324.341876,1338.543386,1270450
08-05-2020,1338.437378,1384.016542,1310.637838,1374.358905,1643300
11-05-2020,1379.974731,1405.18597,1352.068975,1357.858722,1958240
12-05-2020,1368.202148,1378.091559,1331.69152,1375.247437,1479050
13-05-2020,1378.303955,1445.748014,1369.906575,1445.748014,2529370
14-05-2020,1355.14502,1378.159123,1350.137479,1363.658169,1481780
15-05-2020,1361.687988,1371.28774,1318.267295,1359.795129,2350250
18-05-2020,1254.353149,1356.917324,1241.532731,1356.917324,2752580
19-05-2020,1252.228394,1288.937077,1243.425468,1284.465587,2506930
20-05-2020,1320.691284,1332.753661,1242.744548,1252.228294,2665330
21-05-2020,1360.529053,1371.287673,1289.883426,1301.559474,3221910
22-05-2020,1344.574585,1361.528615,1323.096014,1342.507837,1836960
26-05-2020,1429.822632,1436.57331,1358.346461,1362.209515,3191320
27-05-2020,1445.453369,1460.234432,1400.839976,1437.056107,3017880
28-05-2020,1568.062012,1586.749513,1453.281037,1460.234488,8154230
29-05-2020,1598.188843,1641.503311,1526.002856,1535.853714,8504020
01-06-2020,1640.421875,1678.497152,1622.608417,1632.140499,4643120
02-06-2020,1680.066528,1690.086326,1641.798145,1661.113417,3968190
03-06-2020,1694.224609,1728.716823,1680.433477,1728.716823,2850790
04-06-2020,1668.158569,1709.401459,1647.090376,1687.671779,3037820
05-06-2020,1689.637207,1701.675417,1671.746413,1685.257436,1950650
08-06-2020,1631.643066,1725.380136,1621.517049,1723.887989,2735380
09-06-2020,1644.391235,1675.416391,1608.26682,1636.969286,3252740
10-06-2020,1650.494629,1667.83487,1634.75747,1644.391056,1626270
11-06-2020,1587.985718,1665.942123,1572.914996,1650.49474,2190020
12-06-2020,1628.016602,1640.808135,1505.731623,1506.591167,3796470
15-06-2020,1591.766602,1675.696311,1571.886397,1603.162659,5365180
16-06-2020,1613.699219,1641.798082,1582.123513,1641.798082,3577860
17-06-2020,1622.178711,1637.935088,1598.33878,1622.48287,2521910
18-06-2020,1653.005859,1659.181937,1604.143076,1621.372267,2089520
19-06-2020,1675.537109,1694.915099,1630.208939,1661.113374,3119310
22-06-2020,1698.67688,1718.552253,1662.779402,1675.53722,2342470
23-06-2020,1727.862061,1738.374406,1700.709628,1700.709628,2064180
24-06-2020,1780.563843,1785.696819,1723.892785,1748.032041,3383890
25-06-2020,1747.133789,1774.585665,1730.648257,1774.585665,2768290
26-06-2020,1784.09375,1791.597752,1747.742393,1766.381678,2248860
29-06-2020,1749.335938,1783.765435,1740.306071,1774.827288,1948400
30-06-2020,1770.659912,1789.559853,1757.786209,1762.518474,2009460
01-07-2020,1777.193237,1801.105553,1767.443882,1790.525655,2334860
02-07-2020,1772.523804,1791.390028,1735.477127,1777.193233,2765680
03-07-2020,1833.357178,1858.998247,1772.523742,1772.523742,2507160
06-07-2020,1859.186523,1899.656873,1841.88495,1899.656873,2833920
07-07-2020,1924.82959,1936.887252,1859.094946,1859.186666,2872780
08-07-2020,1872.779907,1941.184903,1865.019963,1924.829639,3568650
09-07-2020,1881.621338,1897.725493,1863.793379,1889.999384,2742010
10-07-2020,1878.202515,1906.900146,1868.752485,1883.238939,2044230
13-07-2020,1898.208252,1905.354926,1878.410099,1893.862316,1331720
14-07-2020,1820.478882,1898.652564,1805.451544,1898.208351,2475010
15-07-2020,1792.703369,1854.169407,1783.282341,1835.916453,2823590
16-07-2020,1800.139771,1838.717262,1769.76172,1796.320218,2654550
17-07-2020,1816.678467,1846.829695,1801.289086,1806.943613,1672170
20-07-2020,1853.073364,1861.992177,1812.448458,1830.121979,1604480
21-07-2020,1942.792847,1959.244545,1863.155901,1863.155901,3687060
22-07-2020,1920.957031,1960.500171,1906.610513,1954.705589,3357870
23-07-2020,2016.751099,2032.483189,1908.363352,1919.938014,4460610
24-07-2020,2008.822021,2015.645321,1950.842488,1950.842488,3947910
27-07-2020,1983.456299,2013.617077,1970.157715,2008.821976,1922910
28-07-2020,2033.246216,2044.347782,1984.64421,1985.580972,2622890
29-07-2020,2066.825684,2081.220417,2018.469837,2028.006752,2264820
30-07-2020,2047.549194,2098.121395,2031.135929,2071.562897,2464430
31-07-2020,1993.210571,2075.097466,1986.285886,2070.72748,2190550
03-08-2020,2007.064575,2056.497008,1994.611034,2001.545151,2018580
04-08-2020,2029.614868,2054.657287,2008.788233,2032.449441,1557610
05-08-2020,2120.696045,2150.591331,2043.555681,2048.466551,2380920
06-08-2020,2093.900879,2134.332798,2082.065559,2120.773439,2035230
07-08-2020,2106.074463,2138.475641,2082.186198,2095.706888,1952900
10-08-2020,2062.20459,2124.583106,2051.281748,2114.829035,1681940
