Date,Close,High,Low,Open,Volume
21-08-2023,248.8999939,262.0499878,248.8999939,262,74715306
22-08-2023,236.4499969,236.4499969,236.4499969,236.4499969,7281398
23-08-2023,224.6499939,224.6499939,224.6499939,224.6499939,4289046
24-08-2023,213.4499969,213.4499969,213.4499969,213.4499969,27673350
25-08-2023,214.5,224.1000061,202.8000031,202.8000031,281040100
28-08-2023,211.1499939,222.25,207.5500031,213.3500061,87522120
29-08-2023,220.25,221.6999969,207.25,212,92693420
30-08-2023,231.25,231.25,224.6999969,224.8999939,21403170
31-08-2023,233.5,242.8000031,231.1499939,241.6999969,124122100
01-09-2023,245.1499939,245.1499939,234.1999969,235,39481020
04-09-2023,253.4499969,266.9500122,249,255.3000031,99246730
05-09-2023,255.0500031,260,253,257,47127070
06-09-2023,252.8500061,259.7999878,246.0500031,247,225413100
07-09-2023,251.8000031,257.2999878,251.25,252,43856830
08-09-2023,253.1999969,255,249.5,254,36090000
11-09-2023,250.1499939,257.7000122,250,256.9500122,24982850
12-09-2023,244.25,252,240.8999939,251.75,39500710
13-09-2023,240.1999969,247.8000031,236.6000061,244.8000031,27810990
14-09-2023,242.5500031,244.5500031,241.25,242,14055230
15-09-2023,239.3999939,244.6499939,237.6499939,243.8000031,27416100
18-09-2023,233.1999969,240.8500061,232.1000061,240,24694410
20-09-2023,229.6499939,232,229,230.3999939,18317600
21-09-2023,227.6499939,235.6000061,226.8000031,230,33101550
22-09-2023,227.8000031,232.25,226.3500061,227.9499969,38327550
25-09-2023,229.75,230.8500061,227.5,230,13392150
26-09-2023,230.3999939,231.6999969,230,231.1000061,8058261
27-09-2023,227.3500061,231.1999969,227,231.1999969,10984320
28-09-2023,225.0500031,228.8500061,224.75,228,9143582
29-09-2023,231.1999969,232.8999939,225,225.8999939,12411230
03-10-2023,231.3999939,233.8999939,230.5500031,231.5,13185430
04-10-2023,224.6499939,230,223.5,230,23296540
05-10-2023,225.3999939,227.8999939,224.1999969,225.8999939,13894930
06-10-2023,225.1000061,227.6499939,223.6999969,226.5,7531900
09-10-2023,219.6499939,223,218.8500061,223,9696908
10-10-2023,220.1499939,223.8999939,219.75,221,10451280
11-10-2023,225.1000061,227.6999969,220.6000061,222,11765080
12-10-2023,225.1499939,227.3999939,224.75,227,7780605
13-10-2023,224.5500031,225.8999939,222,224,10137210
16-10-2023,224.8000031,225.9499969,224,224.8999939,10850720
17-10-2023,220.9499969,233,220.5,231.5,34190040
18-10-2023,216,222.8999939,215.5500031,221.6000061,27712060
19-10-2023,214.1999969,216,209.0500031,216,42127110
20-10-2023,214.1999969,217,213,215.5,11101460
23-10-2023,206.6000061,214.1999969,204.25,214,17817780
25-10-2023,210.1499939,211.8000031,206.5,206.6000061,22079260
26-10-2023,215.8500061,217,206.4499969,208,23734030
27-10-2023,222.8999939,225.6000061,216.4499969,219.6000061,20929440
30-10-2023,219,226.1999969,218.1499939,224.5,13508660
31-10-2023,219,223.1999969,215.5500031,222,17538200
01-11-2023,217.6499939,222.0500031,215.3000031,216,15862620
02-11-2023,217.3500061,219.6000061,216.6999969,218.5,13261560
03-11-2023,219.0500031,220.6499939,217.6499939,219,8569115
06-11-2023,217.1499939,220.6999969,216.75,220.3999939,11494090
07-11-2023,217.1999969,218.8000031,216.5,217.8999939,7558170
08-11-2023,214.1499939,217.8999939,213.8000031,217.8000031,17101600
09-11-2023,215.1499939,217.6999969,214.8500061,214.8500061,17250090
10-11-2023,221.9499969,222.9499969,214.3500061,214.8500061,18467210
13-11-2023,224.75,225.8999939,222.25,223,12086990
15-11-2023,224.1499939,227.3500061,223.1999969,226.9499969,15782000
16-11-2023,226.9499969,229.3000031,223.8500061,225.5,17856030
17-11-2023,220.8000031,226,220.3999939,226,19607100
20-11-2023,215.5,221.75,215.0500031,221.75,20403360
21-11-2023,220.1999969,223.1499939,216.5500031,217.3999939,25625460
22-11-2023,221.8999939,223.3999939,218.5,219.6999969,15012270
23-11-2023,221.25,223.25,219.6000061,222.5,11267950
24-11-2023,226.5,227.8500061,220.5,221.8999939,31420610
28-11-2023,226.3500061,232.3000031,225.3000031,228.0500031,25668670
29-11-2023,226.0500031,229.3500061,224.1999969,229.3500061,14007700
30-11-2023,229.3999939,231.8000031,222.6499939,226.0500031,45432210
01-12-2023,225.5,231.6000061,224.8500061,231.4499969,17634910
04-12-2023,230.1000061,232,227.8999939,229.75,21079660
05-12-2023,242.5,246,229.3999939,231,60847480
06-12-2023,247.0500031,251.6000061,243,244.8999939,45262700
07-12-2023,249.1499939,250.6999969,245.1000061,249,23000400
08-12-2023,244.25,250.5,240,249,19056790
11-12-2023,245.6000061,247,243.0500031,244.8500061,8875953
12-12-2023,240.5500031,247.3000031,238.3000031,246.0500031,12749590
13-12-2023,239.75,242.3999939,235.3500061,242,13774940
14-12-2023,238.6000061,243.75,238.0500031,242.8999939,14352890
15-12-2023,237.6499939,242.6000061,236.3999939,240,26225280
18-12-2023,240.1499939,242.1999969,237.6000061,241,17001750
19-12-2023,238.3000031,240.8000031,237.8999939,240.3000031,13053450
20-12-2023,232.1000061,248.1999969,230.0500031,238.8999939,44628840
21-12-2023,238,238.6999969,229,230.8500061,17015300
22-12-2023,236.75,239.75,234.6000061,238.75,10871310
26-12-2023,234.6999969,238,233.6999969,237.25,11865880
27-12-2023,234,237.25,233,236,12430460
28-12-2023,233.3500061,236.3500061,232.5500031,235,10533950
29-12-2023,232.9499969,235.1999969,232.25,233.8999939,11614920
01-01-2024,234.5500031,236.3999939,233.3000031,233.3500061,7919961
02-01-2024,235.3500061,236,232,235,9216592
03-01-2024,234.5,236,233.5500031,235.3999939,9864949
04-01-2024,241.3999939,243.25,236.8000031,238.8500061,32808930
05-01-2024,243.6499939,248.1999969,241.5,244.5,29722060
08-01-2024,242.3999939,246.8999939,240.3000031,246.8500061,21118010
09-01-2024,242.1499939,244.6499939,241.5,243.8999939,10689240
10-01-2024,240.9499969,242.3000031,239.3000031,242,11798540
11-01-2024,251.5500031,253.3999939,240.6499939,243,45792810
12-01-2024,255.0500031,259.3500061,253.6999969,255,46763290
15-01-2024,266.75,269.7000122,257.0499878,258,68617370
16-01-2024,248.8500061,258,246.5,254.1000061,70456850
17-01-2024,242.5500031,247,242.1499939,247,28318080
19-01-2024,246.25,249.1499939,245.3999939,245.8500061,16563070
