Date,Close,High,Low,Open,Volume
09-05-2023,1422.300049,1430,1300,1300,33193796
10-05-2023,1382.849976,1424.349976,1340,1417,5651542
11-05-2023,1380.400024,1386,1306.650024,1370,5111576
12-05-2023,1394.449951,1438.800049,1357.050049,1364,1946969
15-05-2023,1384.900024,1409.800049,1378,1397.900024,565868
16-05-2023,1359,1393.449951,1351.949951,1389,728775
17-05-2023,1354.400024,1369.699951,1343.400024,1359,525476
18-05-2023,1355.800049,1369.949951,1354,1360.550049,255442
19-05-2023,1330.800049,1361,1325.75,1360,373144
22-05-2023,1330.449951,1349,1242,1330,914898
23-05-2023,1331.25,1348.949951,1322.650024,1339.949951,221060
24-05-2023,1322.650024,1339.349976,1314,1325,177959
25-05-2023,1327.699951,1343.849976,1319.800049,1329,132683
26-05-2023,1323.599976,1334.949951,1320.5,1327.650024,83415
29-05-2023,1367.599976,1375,1320,1328,495981
30-05-2023,1355.949951,1385,1345,1381.300049,258524
31-05-2023,1360,1398.599976,1326,1379.949951,879563
01-06-2023,1395.400024,1401,1365.300049,1368,574856
02-06-2023,1466.25,1509.050049,1399.050049,1406,1540408
05-06-2023,1423.900024,1469.900024,1413.050049,1443.949951,612827
06-06-2023,1488.5,1496,1430,1430.800049,687238
07-06-2023,1486.150024,1518.900024,1473,1489.949951,542372
08-06-2023,1457.050049,1491.349976,1450.699951,1490.949951,174292
09-06-2023,1485.300049,1496,1456.050049,1471.949951,182349
12-06-2023,1474.699951,1488.699951,1469,1478.25,99106
13-06-2023,1521.199951,1544.5,1502.150024,1535,580211
14-06-2023,1620.75,1662,1524.099976,1527.050049,1505759
15-06-2023,1622.650024,1652.900024,1585,1594.150024,1105604
16-06-2023,1623.650024,1680,1608.800049,1630,839183
19-06-2023,1700.550049,1724,1627.550049,1631.800049,658756
20-06-2023,1746.900024,1755,1712.300049,1719,572514
21-06-2023,1696.099976,1768,1680.050049,1768,911759
22-06-2023,1681.400024,1746,1645.050049,1724,1225846
23-06-2023,1694,1758,1680.050049,1684.699951,845406
26-06-2023,1702.849976,1720,1693.050049,1701,238572
27-06-2023,1677.699951,1709.900024,1675,1705.5,248597
28-06-2023,1699.75,1720,1680,1681,211474
30-06-2023,1706.800049,1719.449951,1701,1719.449951,162099
03-07-2023,1697.449951,1716.949951,1692.199951,1707.949951,171333
04-07-2023,1677.099976,1709.400024,1661.050049,1709.400024,463605
05-07-2023,1697.849976,1727,1678,1685,229369
06-07-2023,1707.900024,1717,1699,1699,206546
07-07-2023,1733.800049,1749.949951,1701.150024,1708.5,360481
10-07-2023,1727.5,1745.949951,1717.800049,1744,192521
11-07-2023,1731.400024,1743,1724,1728.199951,128332
12-07-2023,1878.449951,1897.900024,1730.599976,1737.650024,972037
13-07-2023,1820.300049,1895.400024,1785,1889.650024,482228
14-07-2023,1819.900024,1854,1810.150024,1829.949951,276149
17-07-2023,1842.25,1876,1815.900024,1819.699951,203252
18-07-2023,1843.900024,1920.949951,1825.650024,1857,375476
19-07-2023,1878.300049,1906,1850,1850,256530
20-07-2023,1888.599976,1944,1880,1884.900024,700772
21-07-2023,1899.449951,1925,1886.550049,1903.550049,242413
24-07-2023,1901.800049,1949,1898.5,1925,219482
25-07-2023,1918.550049,1937.400024,1908,1912,531253
26-07-2023,1828.099976,1935,1820,1933,387554
27-07-2023,1851.300049,1886,1800,1837.199951,421438
28-07-2023,1814.849976,1860,1803,1849.900024,199521
31-07-2023,1742.75,1824.650024,1725,1815,495740
01-08-2023,1771.199951,1790,1726.050049,1760,410651
02-08-2023,1739.800049,1797.900024,1735,1778,792991
03-08-2023,1898.150024,1913.75,1816.199951,1900,2327182
04-08-2023,1880.599976,1945,1862.349976,1918.900024,783444
07-08-2023,1803.5,1888,1793.849976,1879.949951,598554
08-08-2023,1779.449951,1816,1751.699951,1814.949951,945995
09-08-2023,1803.849976,1809.849976,1778,1799.949951,623390
10-08-2023,1841.599976,1850,1803.849976,1808.400024,264559
11-08-2023,1831.849976,1850,1816.050049,1845,227997
14-08-2023,1819.75,1846.900024,1806,1829,246751
16-08-2023,1819.650024,1828.449951,1803.949951,1814.900024,173663
17-08-2023,1831,1839.050049,1820.849976,1822.900024,206081
18-08-2023,1848.099976,1894,1821.099976,1821.099976,590476
