Date,Close,High,Low,Open,Volume
23-07-2021,126,138.8999939,115,116,694895290
26-07-2021,140.6499939,143.75,125.3000031,126.3499985,249723854
27-07-2021,132.8999939,147.8000031,127.75,141.6999969,240341900
28-07-2021,131.1999969,135,123.5500031,131,159793731
29-07-2021,141.5500031,144,132.1999969,134.9499969,117973089
30-07-2021,133.5,142.6999969,131,142.6000061,88312522
02-08-2021,139.6999969,140.75,135.1499939,135.75,66909732
03-08-2021,139.3999939,140.8000031,137,137,46610001
04-08-2021,138.3999939,141,135.25,139.8000031,41134419
05-08-2021,134.9499969,138.8999939,132,138.75,38437134
06-08-2021,131.3500061,136.1999969,130.1000061,135.5,31975356
09-08-2021,130.6000061,133.5500031,127.25,132.3999939,41358299
10-08-2021,125.1999969,131.4499969,122.0999985,131,43164004
11-08-2021,135.6499939,138.75,123,123,111702781
12-08-2021,135.4499969,137.3999939,132.0500031,135.6499939,51256670
13-08-2021,137.3500061,139.75,132.1000061,133.8500061,33674300
16-08-2021,134.9499969,136.8999939,132.25,136.3999939,20305361
17-08-2021,132.5,134.3500061,130.6000061,132.8000031,15815187
18-08-2021,134.9499969,136.8000031,133.3000031,134.5,22566920
20-08-2021,139.3000031,141.4499969,133,134.9499969,53789580
23-08-2021,127.25,137.8000031,124.75,137.8000031,68470861
24-08-2021,125,127.9499969,120.5,127.25,56713556
25-08-2021,124.25,128.5,123.0999985,126,51078811
26-08-2021,125.8499985,127.1500015,124.3499985,125.25,20645403
27-08-2021,124.6999969,129.5,124.0999985,126.5999985,22227595
30-08-2021,133.5500031,135.4499969,127.5500031,127.8499985,45239080
31-08-2021,134.5500031,135.1999969,131.3500061,134,24640924
01-09-2021,132.6000061,135.1000061,130.6999969,134.5500031,16162269
02-09-2021,137.6000061,138.5,131.5,132,27882466
03-09-2021,149.75,151.3999939,135.6000061,135.9499969,113381518
06-09-2021,144.0500031,149.3500061,143.25,149.25,34811620
07-09-2021,140.0500031,146.8500061,138.5500031,144.8999939,30421931
08-09-2021,141.25,143.6000061,139.0500031,141,28133284
09-09-2021,141.6000061,142.8999939,140,141.3999939,18970691
13-09-2021,143.1499939,144.25,142,143.25,17426798
14-09-2021,144.1000061,152.75,136.1999969,145.1499939,112358935
15-09-2021,142.6499939,145,140.75,142.9499969,38892545
16-09-2021,142.0500031,144,141.5,143,17634206
17-09-2021,137.8999939,146.8999939,137.1499939,142.5500031,23264091
20-09-2021,134.3000031,140.8500061,133.25,137.6999969,19799941
21-09-2021,133.4499969,138,131,137.1999969,19330196
22-09-2021,132.1000061,135.3999939,131.3000031,135.3999939,16923375
23-09-2021,137.3000031,140.3999939,133.0500031,134.5,31779169
24-09-2021,136.6499939,139.5,136.0500031,137.5500031,13099391
27-09-2021,143.6999969,144.75,138,139.8500061,26041244
28-09-2021,139,143.8999939,137.6499939,143.8999939,13489232
29-09-2021,138.5,139.5,136.5,138,10801439
30-09-2021,136.6000061,139.1999969,136.1499939,139.1999969,7825751
01-10-2021,138,140.5,137,137.3000031,11940576
04-10-2021,139.1000061,140,138,139.1000061,11995299
